# name: UN-dataset
# source: UN Data for SDGs revisions2.csv
# importDate: 2023-02-27T08:44:56.853Z
# description: undefined
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Adults, description: The average number of years of school attended by people over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Female Adults, description: The average number of years of school attended by females over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Male Adults, description: The average number of years of school attended by males over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Teen Birth Rate, description: Number of births for every 1&comma;000 women aged 15-19 (2015-2020)., type: numeric, unit: births/1&comma;000 teens, precision: 2, editable: true
# attribute -- name: Population Total in Millions, description: Number of residents expressed in millions, type: numeric, unit: million residents, precision: 2, editable: true
# attribute -- name: Medical Doctor Rate, description: Number of medical doctors per 10&comma;000 people (2001-2018)., type: numeric, unit: doctors / 10&comma;000 people, precision: 2, editable: true
# attribute -- name: Homicide Rate, description: Number of unlawful deaths per 100&comma;000 people (2013-2018)., type: numeric, unit: homicides/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Rate of Imprisonment, description: Number of prisoners being held by the criminal justice system per 100&comma;000 people (2013-2018)., type: numeric, unit: prisoners/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Carbon Dioxide Emissions per Person, description: Carbon dioxide emission produced by human activity per person (total emissions divided by the number of people living in the country) measured in tonnes. One tonnes =  Driving 23&comma;000 miles in the average car (once around the world) or 18 dairy cows in weight or 25 million plastic straws., type: numeric, unit: tonnes, precision: 2, editable: true
# attribute -- name: Land Losing Ecological Productivity, description: Percent of rain-fed or irrigated land with increasingly poor soil and plant life. The land is becoming less able to support agriculture&comma; biodiversity&comma; or forests due to over production and other human activities (2015)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Youth Not in School or Employment, description: Percentage of people ages 15–24 who are not employed or in school or professional training., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Immigrants, description: Percent of the country’s population that are immigrants. The exact meaning of  “immigrant” can vary by country&comma; but is generally defined as people that are foreign born and/or that are citizens of another country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Boundary, type: boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
Country,Region,Average Life Expectancy,Internet Users,Total Count of Medical Doctors,Urban Living,Forested Area,Average GNP per Person,Share of Income Owned by Top 1%,Average Years of Schooling for Adults,Average Years of Schooling for Female Adults,Average Years of Schooling for Male Adults,Teen Birth Rate,Population Total in Millions,Medical Doctor Rate,Homicide Rate,Rate of Imprisonment,Carbon Dioxide Emissions per Person,Land Losing Ecological Productivity,Youth Not in School or Employment,Immigrants,Boundary
Norway,Europe,82.4,96.5,290000,82.6,33,"63,633",9,18.1,18.8,17.4,5.1,5.4,29,0.5,80,8,..,4.6,16.1,[object Object]
Oman,Asia,77.9,80.2,200000,85.4,0,"27,896",20,14.2,15.0,13.7,13.1,5.0,20,0.3,..,14,7,19.8,46,[object Object]
Pakistan,Asia,67.3,15.5,100000,36.9,2,"4,690",..,8.3,7.6,8.9,38.8,216.6,10,3.9,39,1,5,31.3,1.5,[object Object]
Palau,Oceania,73.9,..,140000,80.5,88,"18,070",..,15.8,16.3,15.3,..,0.0,14,11.2,422,13,..,..,28.1,[object Object]
Palestine,Asia,74.1,64.4,,76.4,2,"5,662",16,13.4,14.3,12.6,52.8,5.0,..,0.5,22,1,15,33.8,5.1,[object Object]
Panama,Central America,78.5,57.9,160000,68.1,62,"31,459",..,12.9,13.5,12.4,81.8,4.2,16,9.4,397,3,14,15.8,4.4,[object Object]
Papua New Guinea,Oceania,64.5,11.2,10000,13.2,74,"4,388",..,10.2,..,..,52.7,8.8,1,..,59,1,21,28.4,0.4,[object Object]
Paraguay,South America,74.3,65.0,140000,61.9,38,"12,685",..,12.7,13.0,12.4,70.5,7.0,14,7.1,210,1,52,17.3,2.3,[object Object]
Peru,South America,76.7,52.5,130000,78.1,58,"12,848",..,15,14.9,15.1,56.9,32.5,13,7.9,284,2,..,16.9,2.4,[object Object]
Philippines,Asia,71.2,60.1,60000,47.1,28,"8,908",..,13.1,13.5,12.8,54.2,108.1,6,6.5,183,1,38,20.3,0.2,[object Object]
Poland,Europe,78.7,77.5,240000,60.0,31,"33,086",14,16.3,16.9,15.3,10.5,37.9,24,0.7,192,9,5,8.8,1.7,[object Object]
Portugal,Europe,82.1,74.7,510000,65.8,35,"34,798",11,16.5,16.5,16.6,8.4,10.2,51,0.8,127,5,32,8,8.7,[object Object]
Qatar,Asia,80.2,99.7,250000,99.2,0,"92,651",29,12,14.1,11.3,9.9,2.8,25,0.4,47,38,6,10.5,78.7,[object Object]
Republic of Seychelles,Africa,73.4,58.8,210000,57.1,88,"29,056",20,14.1,15.3,13.1,62.1,0.1,21,12.5,394,7,12,..,13.2,
Romania,Europe,76.1,70.7,300000,54.1,30,"29,909",15,14.3,14.7,13.9,36.2,19.4,30,1.3,107,4,2,14.7,2.4,[object Object]
Russian Federation,Europe,72.6,80.9,400000,74.6,50,"27,044",20,15,15.3,14.8,20.7,145.9,40,8.2,386,12,6,15.3,8,[object Object]
Rwanda,Africa,69,21.8,10000,17.3,20,"2,226",..,11.2,11.2,11.2,39.1,12.6,1,2.6,509,0,12,5.2,4.3,[object Object]
Saint Kitts and Nevis,Caribbean,74.8,80.7,270000,30.8,42,"26,357",..,13.8,14.0,13.7,..,0.1,27,..,423,5,..,..,14.4,[object Object]
Saint Lucia,Caribbean,76.2,50.8,60000,18.8,33,"15,449",..,14,14.7,13.3,40.5,0.2,6,21.4,291,2,..,39.4,4.6,[object Object]
Saint Vincent and the Grenadines,Caribbean,72.5,22.4,70000,52.6,69,"12,466",..,14.1,14.2,14.0,49.0,0.1,7,36.5,426,2,..,28.6,4.2,[object Object]
Samoa,Oceania,73.3,33.6,30000,18.1,60,"6,517",..,12.7,13.2,12.3,23.9,0.2,3,3.1,205,1,..,37.4,2,[object Object]
San Marino,Europe,..,60.2,611000,97.4,0,"59,350",..,13,12.8,13.3,..,0.0,61.1,..,18,..,..,..,16.3,[object Object]
São Tomé and Príncipe,Africa,70.4,29.9,10000,73.6,56,"3,964",9,12.7,12.8,12.6,94.6,0.2,1,..,120,1,..,22.6,1,[object Object]
Saudi Arabia,Asia,75.1,93.3,260000,84.1,1,"46,962",20,16.1,16.0,16.2,7.3,34.3,26,1.3,206,18,4,16,38.3,[object Object]
Senegal,Africa,67.9,46.0,10000,47.7,43,"3,395",13,8.6,8.9,8.2,72.7,16.3,1,0.3,79,1,6,37.6,1.7,[object Object]
Serbia,Europe,76,73.4,310000,56.3,31,"18,180",13,14.7,15.3,14.2,14.7,8.8,31,1.2,156,5,6,17.5,9.4,[object Object]
Sierra Leone,Africa,54.7,9.0,0,42.5,43,"1,718",11,10.2,9.7,10.6,112.8,7.8,0,1.7,59,0,18,11.2,0.7,[object Object]
Singapore,Asia,83.6,88.2,230000,100.0,23,"97,341",14,16.4,16.7,16.3,3.5,5.8,23,0.2,208,7,..,4.5,37.1,[object Object]
Slovakia,Europe,77.5,80.7,340000,53.7,40,"32,793",5,14.5,15.0,14.0,25.7,5.5,34,1.1,189,7,4,11.2,3.4,[object Object]
Slovenia,Europe,81.3,79.8,310000,54.8,62,"38,689",8,17.6,18.3,16.8,3.8,2.1,31,0.5,67,7,5,6.8,12.2,[object Object]
Solomon Islands,Oceania,73,11.9,20000,24.2,78,"2,367",..,10.2,9.7,10.7,78.0,0.7,2,..,75,0,..,1.6,0.4,[object Object]
Somalia,Africa,57.4,2.0,2000,45.6,10,..,16.9,..,..,..,100.1,15.4,0.2,..,..,0,23,25.1,0.3,[object Object]
South Africa,Africa,64.1,56.2,90000,66.9,8,"12,482",19,13.8,14.2,13.4,67.9,58.6,9,36.4,284,8,78,32.6,7.2,[object Object]
South Korea,Asia,83,95.9,240000,81.4,63,"42,661",12,16.5,15.9,17.0,1.4,51.2,24,0.6,106,13,..,13.6,2.3,[object Object]
South Sudan,Africa,57.9,8.0,,19.9,..,..,14,5.3,3.5,5.9,62.0,11.1,..,..,61,0,..,20.2,7.8,[object Object]
Spain,Europe,83.6,86.1,390000,80.6,37,"40,883",12,17.6,18.0,17.2,7.7,46.7,39,0.6,126,6,18,12.4,13.1,[object Object]
Sri Lanka,Asia,77,34.1,100000,18.6,33,"13,078",..,14.1,14.5,13.8,20.9,21.3,10,2.4,98,1,36,30.3,0.2,[object Object]
Sudan,Africa,65.3,30.9,30000,34.9,..,"3,958",11,7.9,7.7,8.3,64.0,42.8,3,..,52,1,12,32.2,2.9,[object Object]
Suriname,South America,71.7,48.9,120000,66.1,98,"16,329",..,13.2,13.8,12.5,61.7,0.6,12,5.4,192,3,21,26.3,7.9,[object Object]
Sweden,Europe,82.8,92.1,400000,87.7,69,"53,205",9,19.5,20.4,18.6,5.1,10.0,40,1.1,61,4,..,6.5,20,[object Object]
Switzerland,Europe,83.8,89.7,430000,73.8,32,"68,628",11,16.3,16.2,16.4,2.8,8.6,43,0.6,77,4,..,6.1,29.9,[object Object]
Syria,Asia,72.7,34.3,130000,54.8,3,..,15,8.9,8.9,8.8,38.6,17.1,13,0.9,..,2,..,33.4,5.1,[object Object]
Tajikistan,Asia,71.1,22.0,210000,27.3,3,"3,380",..,11.7,10.7,12.6,57.1,9.3,21,..,..,1,97,23,2.9,[object Object]
Tanzania,Africa,65.5,25.0,0,34.5,52,"2,660",16,8.1,8.2,8.0,118.4,58.0,0,6.5,67,0,..,16.5,0.9,[object Object]
Thailand,Asia,77.2,56.8,80000,50.7,32,"18,463",20,15,15.8,14.7,44.9,69.6,8,2.6,528,4,21,14.3,5.2,[object Object]
Togo,Africa,61,12.4,10000,42.2,3,"1,596",14,12.7,11.5,13.8,89.1,8.1,1,..,65,0,12,10.3,3.5,[object Object]
Tonga,Oceania,70.9,41.2,50000,23.1,13,"6,267",..,14.4,14.6,14.0,14.7,0.1,5,..,174,1,..,20.2,3.6,[object Object]
Trinidad and Tobago,Caribbean,73.5,77.3,420000,53.2,46,"26,176",..,13,14.0,12.0,30.1,1.4,42,30.6,288,31,..,26.3,4.2,[object Object]
Tunisia,Africa,76.7,64.2,130000,69.3,7,"10,756",11,15.1,15.8,14.3,7.8,11.7,13,..,195,3,13,24.8,0.5,[object Object]
Turkey,Asia,77.7,71.0,190000,75.6,15,"28,167",23,16.6,16.0,17.1,26.6,83.4,19,2.6,322,5,9,25.7,7,[object Object]
Turkmenistan,Asia,68.2,21.3,220000,52.0,9,"14,845",..,11.2,10.9,11.5,24.4,5.9,22,..,529,14,22,21.8,3.3,[object Object]
Tuvalu,Oceania,..,49.3,90000,63.2,33,"4,288",..,12.3,..,..,..,0.0,9,..,100,1,..,..,2,[object Object]
Uganda,Africa,63.4,23.7,20000,24.4,10,"2,181",17,11.4,10.6,12.2,118.8,44.3,2,10.5,119,0,22,16.6,3.9,[object Object]
Ukraine,Europe,72.1,58.9,300000,69.5,17,"12,810",..,15.1,15.3,14.9,23.7,44.0,30,6.2,128,5,25,17.5,11.3,[object Object]
United Arab Emirates,Asia,78,98.5,250000,86.8,5,"67,119",23,14.3,14.8,14.1,6.5,9.8,25,0.5,107,21,1,11.2,87.9,[object Object]
United Kingdom,Europe,81.3,94.9,280000,83.7,13,"46,699",13,17.5,18.0,17.0,13.4,67.5,28,1.2,137,6,..,10.8,14.1,[object Object]
United States,North America,78.9,87.3,260000,82.5,34,"62,683",21,16.3,16.9,15.7,19.9,329.1,26,5.0,663,17,..,13.8,15.4,[object Object]
Uruguay,South America,77.9,68.3,510000,95.4,11,"21,561",14,16.8,17.1,15.1,58.7,3.5,51,12.1,297,2,26,18.4,2.4,[object Object]
Uzbekistan,Asia,71.7,52.3,240000,50.4,8,"6,999",..,12.1,11.9,12.2,23.8,33.0,24,1.1,144,3,29,19.9,3.5,[object Object]
Vanuatu,Oceania,70.5,25.7,20000,25.4,36,"3,144",..,11.7,11.5,12,49.4,0.3,2,..,69,1,..,26,1.1,[object Object]
Venezuela,South America,72.1,72.0,,88.2,53,..,..,12.8,13.8,11.8,85.3,28.5,..,36.7,194,5,15,22.6,4.8,[object Object]
Vietnam,Asia,75.4,70.3,80000,36.6,48,"8,041",..,12.7,12.9,12.5,30.9,96.5,8,..,137,2,31,9.7,0.1,[object Object]
Yemen,Asia,66.1,26.7,50000,37.3,1,..,16,8.8,7.4,10.2,60.4,29.2,5,6.8,54,0,..,44.8,1.3,[object Object]
Zambia,Africa,63.9,14.3,120000,44.1,65,"3,479",23,11.5,10.7,11.6,120.1,17.9,12,5.4,148,0,7,19.7,1,[object Object]
Zimbabwe,Africa,61.5,27.1,20000,32.2,36,"2,836",17,11,10.5,11.5,86.1,14.6,2,..,137,1,36,16,2.8,[object Object]
