# name: UN Data for SDGs revisions2
# source: UN Data for SDGs revisions2.csv
# importDate: 2022-08-30T17:04:58.769Z
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Adults, description: The average number of years of school attended by people over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Female Adults, description: The average number of years of school attended by females over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Male Adults, description: The average number of years of school attended by males over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Teen Birth Rate, description: Number of births for every 1&comma;000 women aged 15-19 (2015-2020)., type: numeric, unit: births/1&comma;000 teens, precision: 2, editable: true
# attribute -- name: Population Total in Millions, description: Number of residents expressed in millions, type: numeric, unit: million residents, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Medical Doctor Rate, description: Number of medical doctors per 10&comma;000 people (2001-2018)., type: numeric, unit: doctors / 10&comma;000 people, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true, formula: (`Medical Doctor Rate` * 10000)
# attribute -- name: Homicide Rate, description: Number of unlawful deaths per 100&comma;000 people (2013-2018)., type: numeric, unit: homicides/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Rate of Imprisonment, description: Number of prisoners being held by the criminal justice system per 100&comma;000 people (2013-2018)., type: numeric, unit: prisoners/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Carbon Dioxide Emissions per Person, description: Carbon dioxide emission produced by human activity per person (total emissions divided by the number of people living in the country) measured in tonnes. One tonnes =  Driving 23&comma;000 miles in the average car (once around the world) or 18 dairy cows in weight or 25 million plastic straws., type: numeric, unit: tonnes, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Land Losing Ecological Productivity, description: Percent of rain-fed or irrigated land with increasingly poor soil and plant life. The land is becoming less able to support agriculture&comma; biodiversity&comma; or forests due to over production and other human activities (2015)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Youth Not in School or Employment, description: Percentage of people ages 15–24 who are not employed or in school or professional training., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Immigrants, description: Percent of the country’s population that are immigrants. The exact meaning of  “immigrant” can vary by country&comma; but is generally defined as people that are foreign born and/or that are citizens of another country., type: numeric, unit: %, precision: 2, editable: true
Country,Boundary,Region,Average Life Expectancy,Average Years of Schooling for Adults,Average Years of Schooling for Female Adults,Average Years of Schooling for Male Adults,Teen Birth Rate,Population Total in Millions,Urban Living,Internet Users,Medical Doctor Rate,Total Count of Medical Doctors,Homicide Rate,Rate of Imprisonment,Carbon Dioxide Emissions per Person,Forested Area,Share of Income Owned by Top 1%,Land Losing Ecological Productivity,Average GNP per Person,Youth Not in School or Employment,Immigrants
Oman,[object Object],Asia,77.9,14.2,15.0,13.7,13.1,5.0,85.4,80.2,20,200000,0.3,..,14,0,20,7,"27,896",19.8,46
Pakistan,[object Object],Asia,67.3,8.3,7.6,8.9,38.8,216.6,36.9,15.5,10,100000,3.9,39,1,2,..,5,"4,690",31.3,1.5
Palau,[object Object],Oceania,73.9,15.8,16.3,15.3,..,0.0,80.5,..,14,140000,11.2,422,13,88,..,..,"18,070",..,28.1
Palestine,[object Object],Asia,74.1,13.4,14.3,12.6,52.8,5.0,76.4,64.4,..,,0.5,22,1,2,16,15,"5,662",33.8,5.1
Panama,[object Object],Central America,78.5,12.9,13.5,12.4,81.8,4.2,68.1,57.9,16,160000,9.4,397,3,62,..,14,"31,459",15.8,4.4
Papua New Guinea,[object Object],Oceania,64.5,10.2,..,..,52.7,8.8,13.2,11.2,1,10000,..,59,1,74,..,21,"4,388",28.4,0.4
Paraguay,[object Object],South America,74.3,12.7,13.0,12.4,70.5,7.0,61.9,65.0,14,140000,7.1,210,1,38,..,52,"12,685",17.3,2.3
Peru,[object Object],South America,76.7,15,14.9,15.1,56.9,32.5,78.1,52.5,13,130000,7.9,284,2,58,..,..,"12,848",16.9,2.4
Philippines,[object Object],Asia,71.2,13.1,13.5,12.8,54.2,108.1,47.1,60.1,6,60000,6.5,183,1,28,..,38,"8,908",20.3,0.2
Poland,[object Object],Europe,78.7,16.3,16.9,15.3,10.5,37.9,60.0,77.5,24,240000,0.7,192,9,31,14,5,"33,086",8.8,1.7
Portugal,[object Object],Europe,82.1,16.5,16.5,16.6,8.4,10.2,65.8,74.7,51,510000,0.8,127,5,35,11,32,"34,798",8,8.7
Qatar,[object Object],Asia,80.2,12,14.1,11.3,9.9,2.8,99.2,99.7,25,250000,0.4,47,38,0,29,6,"92,651",10.5,78.7
Republic of Seychelles,,Africa,73.4,14.1,15.3,13.1,62.1,0.1,57.1,58.8,21,210000,12.5,394,7,88,20,12,"29,056",..,13.2
Romania,[object Object],Europe,76.1,14.3,14.7,13.9,36.2,19.4,54.1,70.7,30,300000,1.3,107,4,30,15,2,"29,909",14.7,2.4
Russian Federation,[object Object],Europe,72.6,15,15.3,14.8,20.7,145.9,74.6,80.9,40,400000,8.2,386,12,50,20,6,"27,044",15.3,8
Rwanda,[object Object],Africa,69,11.2,11.2,11.2,39.1,12.6,17.3,21.8,1,10000,2.6,509,0,20,..,12,"2,226",5.2,4.3
Saint Kitts and Nevis,[object Object],Caribbean,74.8,13.8,14.0,13.7,..,0.1,30.8,80.7,27,270000,..,423,5,42,..,..,"26,357",..,14.4
Saint Lucia,[object Object],Caribbean,76.2,14,14.7,13.3,40.5,0.2,18.8,50.8,6,60000,21.4,291,2,33,..,..,"15,449",39.4,4.6
Saint Vincent and the Grenadines,[object Object],Caribbean,72.5,14.1,14.2,14.0,49.0,0.1,52.6,22.4,7,70000,36.5,426,2,69,..,..,"12,466",28.6,4.2
Samoa,[object Object],Oceania,73.3,12.7,13.2,12.3,23.9,0.2,18.1,33.6,3,30000,3.1,205,1,60,..,..,"6,517",37.4,2
San Marino,[object Object],Europe,..,13,12.8,13.3,..,0.0,97.4,60.2,61.1,611000,..,18,..,0,..,..,"59,350",..,16.3
São Tomé and Príncipe,[object Object],Africa,70.4,12.7,12.8,12.6,94.6,0.2,73.6,29.9,1,10000,..,120,1,56,9,..,"3,964",22.6,1
Saudi Arabia,[object Object],Asia,75.1,16.1,16.0,16.2,7.3,34.3,84.1,93.3,26,260000,1.3,206,18,1,20,4,"46,962",16,38.3
Senegal,[object Object],Africa,67.9,8.6,8.9,8.2,72.7,16.3,47.7,46.0,1,10000,0.3,79,1,43,13,6,"3,395",37.6,1.7
Serbia,[object Object],Europe,76,14.7,15.3,14.2,14.7,8.8,56.3,73.4,31,310000,1.2,156,5,31,13,6,"18,180",17.5,9.4
Sierra Leone,[object Object],Africa,54.7,10.2,9.7,10.6,112.8,7.8,42.5,9.0,0,0,1.7,59,0,43,11,18,"1,718",11.2,0.7
Singapore,[object Object],Asia,83.6,16.4,16.7,16.3,3.5,5.8,100.0,88.2,23,230000,0.2,208,7,23,14,..,"97,341",4.5,37.1
Slovakia,[object Object],Europe,77.5,14.5,15.0,14.0,25.7,5.5,53.7,80.7,34,340000,1.1,189,7,40,5,4,"32,793",11.2,3.4
Slovenia,[object Object],Europe,81.3,17.6,18.3,16.8,3.8,2.1,54.8,79.8,31,310000,0.5,67,7,62,8,5,"38,689",6.8,12.2
Solomon Islands,[object Object],Oceania,73,10.2,9.7,10.7,78.0,0.7,24.2,11.9,2,20000,..,75,0,78,..,..,"2,367",1.6,0.4
Somalia,[object Object],Africa,57.4,..,..,..,100.1,15.4,45.6,2.0,0.2,2000,..,..,0,10,16.9,23,..,25.1,0.3
South Africa,[object Object],Africa,64.1,13.8,14.2,13.4,67.9,58.6,66.9,56.2,9,90000,36.4,284,8,8,19,78,"12,482",32.6,7.2
South Korea,[object Object],Asia,83,16.5,15.9,17.0,1.4,51.2,81.4,95.9,24,240000,0.6,106,13,63,12,..,"42,661",13.6,2.3
South Sudan,[object Object],Africa,57.9,5.3,3.5,5.9,62.0,11.1,19.9,8.0,..,,..,61,0,..,14,..,..,20.2,7.8
Spain,[object Object],Europe,83.6,17.6,18.0,17.2,7.7,46.7,80.6,86.1,39,390000,0.6,126,6,37,12,18,"40,883",12.4,13.1
Sri Lanka,[object Object],Asia,77,14.1,14.5,13.8,20.9,21.3,18.6,34.1,10,100000,2.4,98,1,33,..,36,"13,078",30.3,0.2
Sudan,[object Object],Africa,65.3,7.9,7.7,8.3,64.0,42.8,34.9,30.9,3,30000,..,52,1,..,11,12,"3,958",32.2,2.9
Suriname,[object Object],South America,71.7,13.2,13.8,12.5,61.7,0.6,66.1,48.9,12,120000,5.4,192,3,98,..,21,"16,329",26.3,7.9
Sweden,[object Object],Europe,82.8,19.5,20.4,18.6,5.1,10.0,87.7,92.1,40,400000,1.1,61,4,69,9,..,"53,205",6.5,20
Switzerland,[object Object],Europe,83.8,16.3,16.2,16.4,2.8,8.6,73.8,89.7,43,430000,0.6,77,4,32,11,..,"68,628",6.1,29.9
Syria,[object Object],Asia,72.7,8.9,8.9,8.8,38.6,17.1,54.8,34.3,13,130000,0.9,..,2,3,15,..,..,33.4,5.1
Tajikistan,[object Object],Asia,71.1,11.7,10.7,12.6,57.1,9.3,27.3,22.0,21,210000,..,..,1,3,..,97,"3,380",23,2.9
Tanzania,[object Object],Africa,65.5,8.1,8.2,8.0,118.4,58.0,34.5,25.0,0,0,6.5,67,0,52,16,..,"2,660",16.5,0.9
Thailand,[object Object],Asia,77.2,15,15.8,14.7,44.9,69.6,50.7,56.8,8,80000,2.6,528,4,32,20,21,"18,463",14.3,5.2
Togo,[object Object],Africa,61,12.7,11.5,13.8,89.1,8.1,42.2,12.4,1,10000,..,65,0,3,14,12,"1,596",10.3,3.5
Tonga,[object Object],Oceania,70.9,14.4,14.6,14.0,14.7,0.1,23.1,41.2,5,50000,..,174,1,13,..,..,"6,267",20.2,3.6
Trinidad and Tobago,[object Object],Caribbean,73.5,13,14.0,12.0,30.1,1.4,53.2,77.3,42,420000,30.6,288,31,46,..,..,"26,176",26.3,4.2
Tunisia,[object Object],Africa,76.7,15.1,15.8,14.3,7.8,11.7,69.3,64.2,13,130000,..,195,3,7,11,13,"10,756",24.8,0.5
Turkey,[object Object],Asia,77.7,16.6,16.0,17.1,26.6,83.4,75.6,71.0,19,190000,2.6,322,5,15,23,9,"28,167",25.7,7
Turkmenistan,[object Object],Asia,68.2,11.2,10.9,11.5,24.4,5.9,52.0,21.3,22,220000,..,529,14,9,..,22,"14,845",21.8,3.3
Tuvalu,[object Object],Oceania,..,12.3,..,..,..,0.0,63.2,49.3,9,90000,..,100,1,33,..,..,"4,288",..,2
Uganda,[object Object],Africa,63.4,11.4,10.6,12.2,118.8,44.3,24.4,23.7,2,20000,10.5,119,0,10,17,22,"2,181",16.6,3.9
Ukraine,[object Object],Europe,72.1,15.1,15.3,14.9,23.7,44.0,69.5,58.9,30,300000,6.2,128,5,17,..,25,"12,810",17.5,11.3
United Arab Emirates,[object Object],Asia,78,14.3,14.8,14.1,6.5,9.8,86.8,98.5,25,250000,0.5,107,21,5,23,1,"67,119",11.2,87.9
United Kingdom,[object Object],Europe,81.3,17.5,18.0,17.0,13.4,67.5,83.7,94.9,28,280000,1.2,137,6,13,13,..,"46,699",10.8,14.1
United States,[object Object],North America,78.9,16.3,16.9,15.7,19.9,329.1,82.5,87.3,26,260000,5.0,663,17,34,21,..,"62,683",13.8,15.4
Uruguay,[object Object],South America,77.9,16.8,17.1,15.1,58.7,3.5,95.4,68.3,51,510000,12.1,297,2,11,14,26,"21,561",18.4,2.4
Uzbekistan,[object Object],Asia,71.7,12.1,11.9,12.2,23.8,33.0,50.4,52.3,24,240000,1.1,144,3,8,..,29,"6,999",19.9,3.5
Vanuatu,[object Object],Oceania,70.5,11.7,11.5,12,49.4,0.3,25.4,25.7,2,20000,..,69,1,36,..,..,"3,144",26,1.1
Venezuela,[object Object],South America,72.1,12.8,13.8,11.8,85.3,28.5,88.2,72.0,..,,36.7,194,5,53,..,15,..,22.6,4.8
Vietnam,[object Object],Asia,75.4,12.7,12.9,12.5,30.9,96.5,36.6,70.3,8,80000,..,137,2,48,..,31,"8,041",9.7,0.1
Yemen,[object Object],Asia,66.1,8.8,7.4,10.2,60.4,29.2,37.3,26.7,5,50000,6.8,54,0,1,16,..,..,44.8,1.3
Zambia,[object Object],Africa,63.9,11.5,10.7,11.6,120.1,17.9,44.1,14.3,12,120000,5.4,148,0,65,23,7,"3,479",19.7,1
Zimbabwe,[object Object],Africa,61.5,11,10.5,11.5,86.1,14.6,32.2,27.1,2,20000,..,137,1,36,17,36,"2,836",16,2.8
