"","PlayerShort","Height","Weight","Position1","Club","Country","Rater1","Rater2","Rater","Skintone","Position","Games","Victories","Ties","Defeats","Goals","YellowCards","YellowReds","RedCards","RedCardsRate"
"363","jonathan-brison",179,72,"Left Fullback","AS Saint-_tienne","France",0.25,0.25,0.25,"light","Def",235,85,65,85,10,40,2,1,0.00425531914893617
"364","gregory-bourillon",187,76,"Center Back","FC Lorient","France",0.25,0.25,0.25,"light","Def",285,105,83,97,5,36,2,2,0.00701754385964912
"365","marc-planus",183,76,"Center Back","Girondins Bordeaux","France",0.25,0.25,0.25,"light","Def",337,154,105,78,6,56,0,7,0.0207715133531157
"366","benoit-tremoulinas",173,64,"Left Fullback","Girondins Bordeaux","France",0.25,0.25,0.25,"light","Def",225,114,62,49,6,21,0,2,0.00888888888888889
"367","matthieu-chalme",179,75,"Right Fullback","Girondins Bordeaux","France",0.25,0.25,0.25,"light","Def",326,147,89,90,4,73,3,4,0.0122699386503067
"368","marko-basa",189,75,"Center Back","Lille OSC","France",0.25,0.25,0.25,"light","Def",288,127,90,71,21,30,2,2,0.00694444444444444
"369","david-rozehnal",199,77,"Center Back","Lille OSC","France",0.25,0.25,0.25,"light","Def",390,181,97,112,7,41,1,1,0.00256410256410256
"370","laurent-bonnart",170,62,"Left Fullback","Lille OSC","France",0.25,0.25,0.25,"light","Def",273,101,89,83,2,15,1,0,0
"371","abdelhamid-el-kaoutari",180,73,"Center Back","Montpellier HSC","France",0.25,0.25,0.25,"light","Def",124,41,40,43,1,8,4,2,0.0161290322580645
"372","hilton",182,73,"Center Back","Montpellier HSC","France",0.25,0.25,0.25,"light","Def",345,146,105,94,19,37,0,4,0.0115942028985507
"373","nemanja-pejcinovic",185,84,"Center Back","OGC Nice","France",0.25,0.25,0.25,"light","Def",132,44,34,54,7,18,0,1,0.00757575757575758
"374","milan-bisevac",185,81,"Center Back","Olympique Lyon","France",0.25,0.25,0.25,"light","Def",282,110,86,86,7,49,2,2,0.00709219858156028
"375","luciano-monzon",178,78,"Left Fullback","Olympique Lyon","France",0.25,0.25,0.25,"light","Def",160,64,42,54,13,21,1,1,0.00625
"376","anthony-reveillere",180,77,"Right Fullback","Olympique Lyon","France",0.25,0.25,0.25,"light","Def",563,285,138,140,9,91,1,1,0.00177619893428064
"377","baptiste-aloe",184,77,"Center Back","Olympique Marseille","France",0.25,0.25,0.25,"light","Def",1,1,0,0,0,1,0,0,0
"378","jeremy-morel",172,71,"Left Fullback","Olympique Marseille","France",0.25,0.25,0.25,"light","Def",252,89,87,76,9,30,1,1,0.00396825396825397
"379","lucas-mendes",183,81,"Left Fullback","Olympique Marseille","France",0.25,0.25,0.25,"light","Def",98,37,22,39,5,15,0,1,0.0102040816326531
"380","thiago-silva",183,79,"Center Back","Paris Saint-Germain","France",0.25,0.25,0.25,"light","Def",304,172,78,54,21,28,0,2,0.00657894736842105
"381","diego-lugano",188,88,"Center Back","Paris Saint-Germain","France",0.25,0.25,0.25,"light","Def",329,176,82,71,36,107,1,4,0.0121580547112462
"382","maxwell",175,73,"Left Fullback","Paris Saint-Germain","France",0.25,0.25,0.25,"light","Def",426,293,82,51,20,26,0,0,0
"383","christophe-jallet",178,65,"Right Fullback","Paris Saint-Germain","France",0.25,0.25,0.25,"light","Def",274,117,87,70,12,24,1,1,0.00364963503649635
"384","sylvain-marchal",184,80,"Center Back","SC Bastia","France",0.25,0.25,0.25,"light","Def",286,95,87,104,7,68,1,0,0
"385","bernard-mendy",180,77,"Right Fullback","Stade Brest","France",0.25,0.25,0.25,"light","Def",381,119,108,154,10,84,3,3,0.0078740157480315
"386","per-nilsson",190,87,"Center Back","1. FC N_rnberg","Germany",0.25,0.25,0.25,"light","Def",152,59,39,54,13,19,0,1,0.00657894736842105
"387","javier-pinola",179,77,"Left Fullback","1. FC N_rnberg","Germany",0.25,0.25,0.25,"light","Def",333,125,91,117,10,95,1,3,0.00900900900900901
"388","bo-svensson",190,87,"Center Back","1. FSV Mainz 05","Germany",0.25,0.25,0.25,"light","Def",179,71,46,62,3,29,0,0,0
"389","nikolce-noveski",190,87,"Center Back","1. FSV Mainz 05","Germany",0.25,0.25,0.25,"light","Def",497,192,125,180,29,67,2,2,0.00402414486921529
"390","chris",185,79,"Center Back","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Def",180,68,40,72,17,48,1,2,0.0111111111111111
"391","stefan-thesker",190,82,"Center Back","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Def",52,25,14,13,2,10,0,0,0
"392","matthias-jaissle",186,83,"Center Back","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Def",76,40,17,19,3,10,0,0,0
"393","matthieu-delpierre",193,86,"Center Back","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Def",346,143,86,117,9,58,3,3,0.00867052023121387
"394","fabian-johnson",178,64,"Left Fullback","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Def",276,95,75,106,12,8,0,0,0
"395","patrick-ochs",179,71,"Right Fullback","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Def",304,109,81,114,9,77,1,2,0.00657894736842105
"396","oemer-toprak",186,83,"Center Back","Bayer Leverkusen","Germany",0.25,0.25,0.25,"light","Def",229,125,35,69,11,39,1,2,0.00873362445414847
"397","julian-riedel",183,73,"Left Fullback","Bayer Leverkusen","Germany",0.25,0.25,0.25,"light","Def",133,62,28,43,6,8,0,0,0
"398","daniel-van-buyten",197,95,"Center Back","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Def",477,266,88,123,60,42,1,4,0.00838574423480084
"399","philipp-lahm",170,66,"Left Fullback","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Def",615,397,108,110,20,46,0,0,0
"400","diego-contento",177,74,"Left Fullback","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Def",127,79,23,25,7,5,0,0,0
"401","rafinha",172,68,"Right Fullback","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Def",340,200,62,78,16,80,2,2,0.00588235294117647
"402","martin-stranzl",190,83,"Center Back","Bor. M_nchengladbach","Germany",0.25,0.25,0.25,"light","Def",435,178,112,145,22,70,4,5,0.0114942528735632
"403","dominguez_4",189,83,"Left Fullback","Bor. M_nchengladbach","Germany",0.25,0.25,0.25,"light","Def",196,89,48,59,10,46,3,0,0
"404","mats-hummels",192,90,"Center Back","Borussia Dortmund","Germany",0.25,0.25,0.25,"light","Def",319,181,74,64,32,36,0,1,0.00313479623824451
"405","carlos-zambrano",185,78,"Center Back","Eintracht Frankfurt","Germany",0.25,0.25,0.25,"light","Def",156,68,35,53,5,53,2,2,0.0128205128205128
"406","vadim-demidov",185,80,"Center Back","Eintracht Frankfurt","Germany",0.25,0.25,0.25,"light","Def",188,80,43,65,7,25,2,0,0
"407","jens-langeneke",185,78,"Center Back","Fortuna D_sseldorf","Germany",0.25,0.25,0.25,"light","Def",401,162,93,146,36,69,2,2,0.00498753117206983
"408","stelios-malezas",192,80,"Center Back","Fortuna D_sseldorf","Germany",0.25,0.25,0.25,"light","Def",171,85,41,45,4,28,0,0,0
"409","tobias-levels",186,81,"Right Fullback","Fortuna D_sseldorf","Germany",0.25,0.25,0.25,"light","Def",218,74,57,87,2,53,1,1,0.00458715596330275
"410","paul-scharner",191,81,"Center Back","Hamburger SV","Germany",0.25,0.25,0.25,"light","Def",404,133,95,176,31,89,5,1,0.00247524752475248
"411","heiko-westermann",190,87,"Center Back","Hamburger SV","Germany",0.25,0.25,0.25,"light","Def",451,194,101,156,41,44,0,0,0
"412","zhi-gin-lam",175,67,"Right Fullback","Hamburger SV","Germany",0.25,0.25,0.25,"light","Def",127,53,22,52,7,8,0,0,0
"413","dennis-diekmeier",188,79,"Right Fullback","Hamburger SV","Germany",0.25,0.25,0.25,"light","Def",167,55,39,73,2,24,0,0,0
"414","karim-haggui",190,86,"Center Back","Hannover 96","Germany",0.25,0.25,0.25,"light","Def",325,133,82,110,21,54,2,3,0.00923076923076923
"415","christian-pander",186,80,"Left Fullback","Hannover 96","Germany",0.25,0.25,0.25,"light","Def",229,120,42,67,18,14,1,1,0.00436681222707424
"416","beg-ferati",188,81,"Center Back","SC Freiburg","Germany",0.25,0.25,0.25,"light","Def",136,69,26,41,2,19,1,0,0
"417","pavel-krmas",193,86,"Center Back","SC Freiburg","Germany",0.25,0.25,0.25,"light","Def",162,66,42,54,9,25,1,1,0.00617283950617284
"418","vegar-hedenstad",178,74,"Left Fullback","SC Freiburg","Germany",0.25,0.25,0.25,"light","Def",146,58,31,57,6,13,0,1,0.00684931506849315
"419","oliver-sorg",175,77,"Right Fullback","SC Freiburg","Germany",0.25,0.25,0.25,"light","Def",200,101,39,60,3,16,1,0,0
"420","mensur-mujdza",185,77,"Right Fullback","SC Freiburg","Germany",0.25,0.25,0.25,"light","Def",143,63,24,56,2,30,0,0,0
"421","serdar-tasci",186,75,"Center Back","VfB Stuttgart","Germany",0.25,0.25,0.25,"light","Def",292,142,58,92,16,45,0,3,0.0102739726027397
"422","cristian-molinaro",178,72,"Left Fullback","VfB Stuttgart","Germany",0.25,0.25,0.25,"light","Def",270,113,68,89,3,38,1,1,0.0037037037037037
"423","sotirios-kyrgiakos",193,88,"Center Back","VfL Wolfsburg","Germany",0.25,0.25,0.25,"light","Def",284,125,74,85,18,49,3,3,0.0105633802816901
"424","emanuel-pogatetz",189,90,"Center Back","VfL Wolfsburg","Germany",0.25,0.25,0.25,"light","Def",429,152,114,163,13,79,2,3,0.00699300699300699
"425","marcel-schaefer",184,75,"Left Fullback","VfL Wolfsburg","Germany",0.25,0.25,0.25,"light","Def",366,163,79,124,22,23,1,0,0
"426","fagner",168,67,"Right Fullback","VfL Wolfsburg","Germany",0.25,0.25,0.25,"light","Def",151,64,46,41,8,27,0,1,0.00662251655629139
"427","sokratis-papastathopoulos",185,82,"Center Back","Werder Bremen","Germany",0.25,0.25,0.25,"light","Def",260,128,60,72,8,62,7,1,0.00384615384615385
"428","clemens-fritz",183,81,"Right Fullback","Werder Bremen","Germany",0.25,0.25,0.25,"light","Def",419,178,103,138,17,76,2,0,0
"429","diego-godin",185,75,"Center Back","Atl©tico Madrid","Spain",0.25,0.25,0.25,"light","Def",359,190,79,90,19,76,1,7,0.0194986072423398
"430","silvio_2",178,72,"Right Fullback","Atl©tico Madrid","Spain",0.25,0.25,0.25,"light","Def",141,61,37,43,3,30,1,0,0
"431","miguel-flano",177,72,"Center Back","CA Osasuna","Spain",0.25,0.25,0.25,"light","Def",231,75,61,95,9,46,1,3,0.012987012987013
"432","arribas_2",185,77,"Center Back","CA Osasuna","Spain",0.25,0.25,0.25,"light","Def",148,52,30,66,5,48,4,2,0.0135135135135135
"433","oier_2",178,66,"Right Fullback","CA Osasuna","Spain",0.25,0.25,0.25,"light","Def",120,44,28,48,2,27,0,0,0
"434","jonathan-vila",186,78,"Center Back","Celta Vigo","Spain",0.25,0.25,0.25,"light","Def",130,49,33,48,0,27,0,1,0.00769230769230769
"435","andres-tunez",187,83,"Center Back","Celta Vigo","Spain",0.25,0.25,0.25,"light","Def",99,43,17,39,3,17,0,0,0
"436","samuel_8",187,83,"Center Back","Celta Vigo","Spain",0.25,0.25,0.25,"light","Def",152,68,36,48,8,33,1,2,0.0131578947368421
"437","ze-castro",183,76,"Center Back","Deportivo La Coru±a","Spain",0.25,0.25,0.25,"light","Def",169,77,31,61,3,28,1,1,0.00591715976331361
"438","laure",166,68,"Right Fullback","Deportivo La Coru±a","Spain",0.25,0.25,0.25,"light","Def",151,60,36,55,3,41,2,0,0
"439","raul-rodriguez_2",183,74,"Center Back","Espanyol Barcelona","Spain",0.25,0.25,0.25,"light","Def",89,23,25,41,0,12,0,1,0.0112359550561798
"440","diego-colotto",184,83,"Center Back","Espanyol Barcelona","Spain",0.25,0.25,0.25,"light","Def",365,136,101,128,31,76,6,4,0.010958904109589
"441","capdevila",182,79,"Left Fullback","Espanyol Barcelona","Spain",0.25,0.25,0.25,"light","Def",574,296,121,157,47,91,3,2,0.00348432055749129
"442","miguel-torres",184,76,"Left Fullback","Getafe CF","Spain",0.25,0.25,0.25,"light","Def",202,96,37,69,1,41,2,1,0.00495049504950495
"443","valera",184,76,"Right Fullback","Getafe CF","Spain",0.25,0.25,0.25,"light","Def",216,67,54,95,10,45,2,0,0
"444","ballesteros",188,90,"Center Back","Levante UD","Spain",0.25,0.25,0.25,"light","Def",509,188,136,185,10,128,10,5,0.00982318271119843
"445","pedro-lopez",174,72,"Right Fullback","Levante UD","Spain",0.25,0.25,0.25,"light","Def",221,78,57,86,5,43,4,3,0.0135746606334842
"446","christian-lell",180,80,"Right Fullback","Levante UD","Spain",0.25,0.25,0.25,"light","Def",318,159,72,87,8,51,3,2,0.00628930817610063
"447","martin-demichelis",184,80,"Center Back","Mlaga CF","Spain",0.25,0.25,0.25,"light","Def",461,270,95,96,31,102,2,5,0.0108459869848156
"448","sergio-sanchez_2",185,76,"Right Fullback","Mlaga CF","Spain",0.25,0.25,0.25,"light","Def",174,66,46,62,5,53,3,1,0.00574712643678161
"449","galvez_2",188,79,"Center Back","Rayo Vallecano","Spain",0.25,0.25,0.25,"light","Def",73,31,9,33,4,35,2,0,0
"450","casado_3",173,76,"Left Fullback","Rayo Vallecano","Spain",0.25,0.25,0.25,"light","Def",148,53,28,67,1,58,2,1,0.00675675675675676
"451","antonio-lopez_2",176,74,"Left Fullback","RCD Mallorca","Spain",0.25,0.25,0.25,"light","Def",344,138,92,114,16,61,2,3,0.00872093023255814
"452","dorado_2",180,69,"Left Fullback","Real Betis","Spain",0.25,0.25,0.25,"light","Def",191,80,50,61,3,19,0,2,0.0104712041884817
"453","angel",180,71,"Right Fullback","Real Betis","Spain",0.25,0.25,0.25,"light","Def",389,157,93,139,9,87,5,2,0.0051413881748072
"454","ricardo-carvalho",182,79,"Center Back","Real Madrid","Spain",0.25,0.25,0.25,"light","Def",427,281,87,59,19,82,3,1,0.00234192037470726
"455","pepe_2",188,81,"Center Back","Real Madrid","Spain",0.25,0.25,0.25,"light","Def",347,235,53,59,17,86,4,3,0.00864553314121038
"456","arbeloa",184,79,"Right Fullback","Real Madrid","Spain",0.25,0.25,0.25,"light","Def",364,244,71,49,6,85,5,0,0
"457","inigo-martinez",181,77,"Center Back","Real Sociedad","Spain",0.25,0.25,0.25,"light","Def",125,60,28,37,9,33,1,4,0.032
"458","ansotegi",192,84,"Center Back","Real Sociedad","Spain",0.25,0.25,0.25,"light","Def",179,74,45,60,11,27,0,0,0
"459","de-la-bella",182,82,"Left Fullback","Real Sociedad","Spain",0.25,0.25,0.25,"light","Def",174,58,45,71,6,34,0,0,0
"460","marc-valiente",184,71,"Center Back","Real Valladolid","Spain",0.25,0.25,0.25,"light","Def",165,54,52,59,4,28,1,1,0.00606060606060606
"461","sereno",188,78,"Center Back","Real Valladolid","Spain",0.25,0.25,0.25,"light","Def",132,51,32,49,5,35,2,4,0.0303030303030303
"462","balenziaga",177,70,"Left Fullback","Real Valladolid","Spain",0.25,0.25,0.25,"light","Def",160,67,43,50,0,26,1,0,0
"463","pena_2",181,73,"Left Fullback","Real Valladolid","Spain",0.25,0.25,0.25,"light","Def",199,75,59,65,1,33,2,0,0
"464","alvaro-gonzalez_3",183,76,"Center Back","Real Zaragoza","Spain",0.25,0.25,0.25,"light","Def",114,30,34,50,3,43,0,2,0.0175438596491228
"465","emir-spahic",185,80,"Center Back","Sevilla FC","Spain",0.25,0.25,0.25,"light","Def",266,111,66,89,13,84,5,3,0.0112781954887218
"466","cala",187,84,"Center Back","Sevilla FC","Spain",0.25,0.25,0.25,"light","Def",111,38,26,47,12,41,2,3,0.027027027027027
"467","ricardo-costa",183,80,"Center Back","Valencia CF","Spain",0.25,0.25,0.25,"light","Def",246,102,64,80,21,50,7,4,0.016260162601626
"468","victor-ruiz_2",184,80,"Center Back","Valencia CF","Spain",0.25,0.25,0.25,"light","Def",141,70,30,41,5,43,2,1,0.00709219858156028
"469","juan-bernat",172,67,"Left Fullback","Valencia CF","Spain",0.25,0.25,0.25,"light","Def",84,48,15,21,3,6,0,0,0
"470","salva-ruiz",175,70,"Left Fullback","Valencia CF","Spain",0.25,0.25,0.25,"light","Def",18,6,4,8,0,1,0,0,0
"471","joao-pereira",172,70,"Right Fullback","Valencia CF","Spain",0.25,0.25,0.25,"light","Def",299,154,72,73,6,75,2,1,0.00334448160535117
"472","kyle-walker",178,73,"Right Fullback","Tottenham Hotspur","England",0,0.5,0.25,"light","Def",226,113,59,54,5,32,0,0,0
"473","garrido_2",178,75,"Left Fullback","Norwich City","England",0.5,0.25,0.375,"light","Def",218,84,47,87,4,32,0,0,0
"474","anton-ferdinand",178,78,"Center Back","Queens Park Rangers","England",0.5,0.25,0.375,"light","Def",317,120,68,129,5,31,0,0,0
"475","phil-bardsley",180,73,"Right Fullback","Sunderland AFC","England",0.5,0.25,0.375,"light","Def",278,100,63,115,12,56,3,0,0
"476","du-ri-cha",181,81,"Right Fullback","Fortuna D_sseldorf","Germany",0.5,0.25,0.375,"light","Def",364,150,74,140,22,23,0,2,0.00549450549450549
"477","manuel-pablo",176,80,"Right Fullback","Deportivo La Coru±a","Spain",0.5,0.25,0.375,"light","Def",438,196,104,138,2,50,1,1,0.00228310502283105
"478","dani-alves",173,64,"Right Fullback","FC Barcelona","Spain",0.5,0.25,0.375,"light","Def",583,373,110,100,39,146,8,2,0.00343053173241852
"479","rafa_2",183,72,"Left Fullback","Getafe CF","Spain",0.5,0.25,0.375,"light","Def",162,52,41,69,4,46,2,1,0.00617283950617284
"480","juanfran",183,78,"Left Fullback","Levante UD","Spain",0.5,0.25,0.375,"light","Def",487,207,127,153,10,121,7,8,0.0164271047227926
"481","fabio-coentrao",179,70,"Left Fullback","Real Madrid","Spain",0.5,0.25,0.375,"light","Def",242,149,38,55,16,51,5,1,0.00413223140495868
"482","liassine-cadamuro",188,81,"Center Back","Real Sociedad","Spain",0.5,0.25,0.375,"light","Def",44,11,16,17,0,15,0,0,0
"483","winston-reid",190,87,"Center Back","West Ham United","England",0.25,0.5,0.375,"light","Def",192,82,40,70,10,38,1,1,0.00520833333333333
"484","daniel-congre",184,79,"Center Back","Montpellier HSC","France",0.25,0.5,0.375,"light","Def",287,100,87,100,7,26,0,3,0.0104529616724739
"485","timothee-kolodziejczak",181,69,"Left Fullback","OGC Nice","France",0.25,0.5,0.375,"light","Def",101,49,18,34,2,17,0,0,0
"486","leon-balogun",190,81,"Center Back","Fortuna D_sseldorf","Germany",0.25,0.5,0.375,"light","Def",154,52,39,63,10,33,0,1,0.00649350649350649
"487","ricardo-rodriguez",180,77,"Left Fullback","VfL Wolfsburg","Germany",0.25,0.5,0.375,"light","Def",148,69,34,45,9,8,1,0,0
"488","lukas-schmitz",184,80,"Left Fullback","Werder Bremen","Germany",0.25,0.5,0.375,"light","Def",167,71,41,55,7,26,2,1,0.00598802395209581
"489","lolo_3",182,72,"Center Back","CA Osasuna","Spain",0.25,0.5,0.375,"light","Def",167,63,38,66,9,32,1,1,0.00598802395209581
"490","nano",186,80,"Left Fullback","CA Osasuna","Spain",0.25,0.5,0.375,"light","Def",192,71,42,79,19,31,1,3,0.015625
"491","hugo-mallo",173,69,"Right Fullback","Celta Vigo","Spain",0.25,0.5,0.375,"light","Def",158,68,38,52,1,43,2,2,0.0126582278481013
"492","marchena",183,78,"Center Back","Deportivo La Coru±a","Spain",0.25,0.5,0.375,"light","Def",509,250,130,129,20,144,10,4,0.00785854616895874
"493","roderick-miranda",192,85,"Center Back","Deportivo La Coru±a","Spain",0.25,0.5,0.375,"light","Def",70,30,15,25,0,19,1,0,0
"494","hector-moreno",184,80,"Center Back","Espanyol Barcelona","Spain",0.25,0.5,0.375,"light","Def",302,130,76,96,16,65,0,3,0.00993377483443709
"495","galan_5",182,75,"Right Fullback","Espanyol Barcelona","Spain",0.25,0.5,0.375,"light","Def",94,25,23,46,2,30,3,1,0.0106382978723404
"496","martin-montoya",174,74,"Right Fullback","FC Barcelona","Spain",0.25,0.5,0.375,"light","Def",129,80,23,26,3,17,0,0,0
"497","mane",175,72,"Left Fullback","Getafe CF","Spain",0.25,0.5,0.375,"light","Def",198,75,43,80,5,50,0,1,0.00505050505050505
"498","jesus-gamez",182,70,"Right Fullback","Mlaga CF","Spain",0.25,0.5,0.375,"light","Def",216,75,60,81,0,63,2,2,0.00925925925925926
"499","jordi-amat",184,80,"Center Back","Rayo Vallecano","Spain",0.25,0.5,0.375,"light","Def",117,51,17,49,1,39,1,1,0.00854700854700855
"500","amaya_3",192,86,"Center Back","Real Betis","Spain",0.25,0.5,0.375,"light","Def",126,45,37,44,5,40,4,1,0.00793650793650794
"501","federico-fazio",195,90,"Center Back","Sevilla FC","Spain",0.25,0.5,0.375,"light","Def",206,104,46,56,15,40,2,2,0.00970873786407767
"502","luna",177,68,"Left Fullback","Sevilla FC","Spain",0.25,0.5,0.375,"light","Def",76,26,13,37,3,15,2,1,0.0131578947368421
"503","dalmau_2",178,70,"Right Fullback","Valencia CF","Spain",0.25,0.5,0.375,"light","Def",16,8,4,4,1,1,0,0,0
"504","kieran-gibbs",178,64,"Left Fullback","Arsenal FC","England",0.5,0.5,0.5,"middle","Def",168,98,35,35,5,14,0,1,0.00595238095238095
"505","andre-santos",180,74,"Left Fullback","Arsenal FC","England",0.5,0.5,0.5,"middle","Def",197,108,47,42,28,44,0,1,0.0050761421319797
"506","ashley-cole",170,67,"Left Fullback","Chelsea FC","England",0.5,0.5,0.5,"middle","Def",662,404,146,112,16,106,1,3,0.00453172205438067
"507","paulo-ferreira",182,76,"Right Fullback","Chelsea FC","England",0.5,0.5,0.5,"middle","Def",300,195,53,52,2,22,0,0,0
"508","matthew-briggs",188,84,"Left Fullback","Fulham FC","England",0.5,0.5,0.5,"middle","Def",59,22,13,24,3,7,0,0,0
"509","joleon-lescott",188,83,"Center Back","Manchester City","England",0.5,0.5,0.5,"middle","Def",472,242,121,109,33,30,0,0,0
"510","vincent-kompany",190,85,"Center Back","Manchester City","England",0.5,0.5,0.5,"middle","Def",445,242,92,111,25,72,3,5,0.0112359550561798
"511","gael-clichy",176,72,"Left Fullback","Manchester City","England",0.5,0.5,0.5,"middle","Def",389,237,86,66,2,49,1,0,0
"512","chris-smalling",193,90,"Center Back","Manchester United","England",0.5,0.5,0.5,"middle","Def",161,95,25,41,6,8,0,0,0
"513","bosingwa",183,75,"Right Fullback","Queens Park Rangers","England",0.5,0.5,0.5,"middle","Def",314,158,78,78,6,41,0,2,0.00636942675159236
"514","younes-kaboul",190,87,"Center Back","Tottenham Hotspur","England",0.5,0.5,0.5,"middle","Def",252,110,61,81,18,25,4,2,0.00793650793650794
"515","benoit-assou-ekotto",180,69,"Left Fullback","Tottenham Hotspur","England",0.5,0.5,0.5,"middle","Def",331,154,85,92,4,50,2,2,0.00604229607250755
"516","steven-reid",180,75,"Right Fullback","West Bromwich Albion","England",0.5,0.5,0.5,"middle","Def",266,97,71,98,19,50,0,1,0.0037593984962406
"517","carl-medjani",184,84,"Center Back","AC Ajaccio","France",0.5,0.5,0.5,"middle","Def",229,78,64,87,9,25,0,5,0.0218340611353712
"518","cedric-kante",181,77,"Center Back","FC Sochaux","France",0.5,0.5,0.5,"middle","Def",354,133,99,122,9,40,0,2,0.00564971751412429
"519","garry-bocaly",180,74,"Right Fullback","Montpellier HSC","France",0.5,0.5,0.5,"middle","Def",137,61,35,41,7,29,0,3,0.0218978102189781
"520","medhi-zeffane",175,68,"Right Fullback","Olympique Lyon","France",0.5,0.5,0.5,"middle","Def",14,8,5,1,0,1,0,0,0
"521","gregory-van-der-wiel",172,69,"Center Back","Paris Saint-Germain","France",0.5,0.5,0.5,"middle","Def",276,175,54,47,14,33,3,0,0
"522","alex_4",188,92,"Center Back","Paris Saint-Germain","France",0.5,0.5,0.5,"middle","Def",371,243,81,47,38,48,0,2,0.00539083557951483
"523","jonathan-zebina",190,84,"Right Fullback","Toulouse FC","France",0.5,0.5,0.5,"middle","Def",375,149,122,104,2,86,5,5,0.0133333333333333
"524","marcos-antonio",187,87,"Center Back","1. FC N_rnberg","Germany",0.5,0.5,0.5,"middle","Def",137,53,41,43,3,25,0,0,0
"525","marvin-compper",185,75,"Center Back","1899 Hoffenheim","Germany",0.5,0.5,0.5,"middle","Def",241,101,56,84,8,33,2,2,0.00829875518672199
"526","carlinhos_13",179,81,"Right Fullback","Bayer Leverkusen","Germany",0.5,0.5,0.5,"middle","Def",16,3,3,10,2,4,0,0,0
"527","dante",188,87,"Center Back","Bayern M_nchen","Germany",0.5,0.5,0.5,"middle","Def",318,183,65,70,19,58,3,2,0.00628930817610063
"528","patrick-owomoyela",187,87,"Right Fullback","Borussia Dortmund","Germany",0.5,0.5,0.5,"middle","Def",315,155,68,92,19,24,1,0,0
"529","bruno-soares_2",194,85,"Center Back","Fortuna D_sseldorf","Germany",0.5,0.5,0.5,"middle","Def",95,41,21,33,4,23,2,2,0.0210526315789474
"530","dennis-aogo",184,85,"Left Fullback","Hamburger SV","Germany",0.5,0.5,0.5,"middle","Def",320,141,77,102,20,50,0,0,0
"531","felipe_19",193,85,"Center Back","Hannover 96","Germany",0.5,0.5,0.5,"middle","Def",116,46,33,37,6,31,0,2,0.0172413793103448
"532","cata-diaz",183,72,"Center Back","Atl©tico Madrid","Spain",0.5,0.5,0.5,"middle","Def",452,189,117,146,18,122,2,4,0.00884955752212389
"533","miranda_2",186,76,"Center Back","Atl©tico Madrid","Spain",0.5,0.5,0.5,"middle","Def",326,183,76,67,16,68,4,2,0.00613496932515337
"534","gustavo-cabral",184,82,"Center Back","Celta Vigo","Spain",0.5,0.5,0.5,"middle","Def",290,109,69,112,12,70,4,5,0.0172413793103448
"535","marcelo_5",192,81,"Center Back","CF Badalona","Spain",0.5,0.5,0.5,"middle","Def",25,12,5,8,0,7,0,1,0.04
"536","oguchi-onyewu",194,95,"Center Back","Mlaga CF","Spain",0.5,0.5,0.5,"middle","Def",330,176,73,81,26,54,5,3,0.00909090909090909
"537","anderson-conceicao",188,81,"Center Back","RCD Mallorca","Spain",0.5,0.5,0.5,"middle","Def",32,5,7,20,1,3,2,0,0
"538","kevin_2",176,75,"Left Fullback","RCD Mallorca","Spain",0.5,0.5,0.5,"middle","Def",61,20,17,24,2,14,1,0,0
"539","mario",178,75,"Center Back","Real Betis","Spain",0.5,0.5,0.5,"middle","Def",160,63,33,64,3,30,5,1,0.00625
"540","nelson_4",171,65,"Right Fullback","Real Betis","Spain",0.5,0.5,0.5,"middle","Def",213,84,59,70,4,22,1,2,0.00938967136150235
"541","raphael-varane",191,78,"Center Back","Real Madrid","Spain",0.5,0.5,0.5,"middle","Def",106,65,19,22,9,5,0,0,0
"542","nedum-onuoha",183,78,"Center Back","Queens Park Rangers","England",1,0.75,0.875,"very dark","Def",229,96,57,76,11,8,0,1,0.00436681222707424
"543","maynor-figueroa",180,85,"Left Fullback","Wigan Athletic","England",1,0.75,0.875,"very dark","Def",316,105,78,133,9,48,1,2,0.00632911392405063
"544","assani-lukimya",190,89,"Center Back","Werder Bremen","Germany",1,0.75,0.875,"very dark","Def",241,94,60,87,13,21,3,1,0.004149377593361
"545","sylvain-distin",191,85,"Center Back","Everton FC","England",0.75,1,0.875,"very dark","Def",562,220,145,197,11,51,1,1,0.00177935943060498
"546","titus-bramble",187,87,"Center Back","Sunderland AFC","England",0.75,1,0.875,"very dark","Def",365,146,85,134,15,71,1,1,0.00273972602739726
"547","mapou-yanga-mbiwa",184,77,"Center Back","Montpellier HSC","France",0.75,1,0.875,"very dark","Def",213,97,49,67,4,37,3,1,0.00469483568075117
"548","zoumana-camara",182,76,"Center Back","Paris Saint-Germain","France",0.75,1,0.875,"very dark","Def",395,148,117,130,7,46,2,6,0.0151898734177215
